X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
-73.9703149829,40.7785583630,16D-AM-1007-01,16D,AM,2018-10-07,1,Adult,Gray,White,Gray+White,,Above Ground,3,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9703149829421 40.7785583630323),,19,4,19,13
-73.9790896775,40.7688048645,3B-AM-1010-10,03B,AM,2018-10-10,10,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9790896775237 40.7688048644871),,19,4,19,13
-73.9600546294,40.7914969166,33D-AM-1017-03,33D,AM,2018-10-17,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9600546294497 40.7914969165757),,19,4,19,13
-73.9809482936,40.7685688851,2A-PM-1019-04,02A,PM,2018-10-19,4,Juvenile,Gray,White,Gray+White,,Above Ground,15,in tree!,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.980948293606 40.7685688850628),,19,4,19,13
-73.9805137047,40.7692751438,2A-AM-1010-08,02A,AM,2018-10-10,8,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9805137046778 40.769275143797),,19,4,19,13
-73.9801985978,40.7680159512,1B-AM-1012-11,01B,AM,2018-10-12,11,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,True,True,True,True,fighting w/ pigeons,True,True,True,True,True,True,True,True,,POINT (-73.9801985977846 40.7680159511705),,19,4,19,13
-73.9672070424,40.7833373549,22C-PM-1006-02,22C,PM,2018-10-06,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9672070423666 40.783337354891),,19,4,19,13
-73.9645547557,40.7768770071,16I-AM-1008-04,16I,AM,2018-10-08,4,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,9,tree hollow,True,True,True,True,True,in hollow,True,True,True,True,True,True,True,True,curious,POINT (-73.9645547556826 40.776877007081),,19,4,19,13
-73.9670850806,40.7833747810,22C-PM-1006-01,22C,PM,2018-10-06,1,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,for food,True,True,True,True,True,True,True,True,,POINT (-73.9670850805619 40.7833747810387),,19,4,19,13
-73.9558268732,40.7952074194,38E-PM-1014-04,38E,PM,2018-10-14,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,THICK UNDERGROWTH,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9558268731771 40.7952074193788),,19,4,19,13
-73.9686296218,40.7718123089,10H-AM-1014-02,10H,AM,2018-10-14,2,Juvenile,Cinnamon,,Cinnamon+,,Above Ground,6,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9686296217893 40.771812308875),,19,4,19,13
-73.9635317823,40.7821352080,22G-AM-1018-01,22G,AM,2018-10-18,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9635317822977 40.7821352080233),,19,4,19,13
-73.9553038163,40.7909367783,34H-PM-1006-04,34H,PM,2018-10-06,4,,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,Elm tree,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9553038162633 40.790936778322305),,19,4,19,13
-73.9636551433,40.7901572819,30B-PM-1019-02,30B,PM,2018-10-19,2,Adult,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9636551433178 40.7901572818776),,19,4,19,13
-73.9689723590,40.7756860990,13F-AM-1007-01,13F,AM,2018-10-07,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,20,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9689723590015 40.7756860990338),,19,4,19,13
-73.9719111470,40.7758789855,12D-AM-1013-02,12D,AM,2018-10-13,2,Adult,Gray,,Gray+,,Above Ground,7,Was on top of the edge of Bow Bridge,True,True,True,True,True,jumped off,True,True,True,True,True,True,True,True,,POINT (-73.9719111470164 40.7758789855474),,19,4,19,13
-73.9755569171,40.7668006978,2F-AM-1006-03,02F,AM,2018-10-06,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,25,in tree,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9755569170561 40.7668006977526),,19,4,19,13
-73.9695538963,40.7709884929,9H-PM-1018-04,09H,PM,2018-10-18,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.969553896295 40.7709884929277),,19,4,19,13
-73.9694468044,40.7703608860,8I-PM-1013-05,08I,PM,2018-10-13,5,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9694468044483 40.770360886038),,19,4,19,13
-73.9720347089,40.7727750272,9E-PM-1014-01,09E,PM,2018-10-14,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Gathering/digging in grassy area b/w trees,True,True,True,True,True,looked like it was smelling/digging in the ground,True,True,True,True,True,True,True,True,indifferent (was in a grassy area with no humans nearby),POINT (-73.9720347089273 40.7727750272024),,19,4,19,13
-73.9691293546,40.7703219077,8I-AM-1006-11,08I,AM,2018-10-06,11,Adult,Gray,,Gray+,,Above Ground,50,tree,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9691293546408 40.77032190765491),,19,4,19,13
